Disease,Symptom_1,Symptom_2,Symptom_3,Specialization,Name,State,City
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AAMIR RIYAZ,MAHARASHTRA,NAGPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ADATIA RUPA PAWAN,MAHARASHTRA,NAGPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DANDALE AMEET,MAHARASHTRA,MUMBAI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KAPOOR RINKY,MAHARASHTRA,MUMBAI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. TALATHI ABHAY,MAHARASHTRA,MUMBAI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN S.K.,RAJASTHAN,KOTA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGARWAL SATISH,UTTAR PRADESH,AGRA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL NEERAJ KUMAR,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BANSAL MANISH,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDEY S.S.,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHARMA LATA,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SINGH SANJAY,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SINGH SATYENDRA KUMAR,UTTAR PRADESH,VARANASI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. LAHIRI KOUSHIK,WEST BENGAL,KOLKATA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AKOLKAR SANDIP A.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BARDOLIWALA CHIRAYU,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BHATTI MITESH D.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BHAVSAR DEEPAK,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DESAI HEMANG N.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DESAI NILAM,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DHANANI JAYSHREE D.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DHOPTE MAHENDRA,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN VIVEK,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JIGNASU NIRMAL P.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHANDAR MALTI,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHANDELWAL STUTI M.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. LALSETA CHETAN S.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MAHAJAN RASHMI,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MAPARA SURESH H.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MATRAVADIA ASHA C.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MEHTA PARESH?,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MODI JATIN V.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. OSWAL ARCHANA,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDYA ASMI A.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDYA KRISHAKANT B.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDYA RAGINI,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PARIKH AJAY,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL ASIT?N.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL BHARTI K.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL CHETAN N.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL HITENDRA A.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL MAMTA,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL NARENDRA,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL RAVINDRA O.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATIDAR SUKHDEV,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. POPAT MUKESH D.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PRADHAN SUNIL?C.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RUPARELIA MUKESH B.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SEN PRIYANK,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH MAHENDRA O.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH NITA M.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH PANKAJ O.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH PARAG G.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH SWETAL P.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAIKHJIWALA H.G.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHETH JATIN H.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SINGH KAMALJIT?,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SUTARIYA PRIYANKA K.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. THAKKAR JANAK K.,GUJARAT,RAJKOT
